z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
69,0.003815355633094126,336,mozjpeg-max-420,50.297619047619044,35,3,125,2,10.416666666666668,0.8928571428571428,37.202380952380956,0.5952380952380952,50.297619047619044,0.5952380952380952,78719.69253731343,78468.60479041917,70737.86011904762,84720.62874251496,11.30952380952381,88.6904761904762
70,0.0037178438129873105,336,mozjpeg-max-420,50.89285714285714,35,2,123,3,10.416666666666668,0.5952380952380952,36.607142857142854,0.8928571428571428,50.89285714285714,0.5952380952380952,80314.42686567164,79594.62874251496,71831.51190476191,83213.12312312312,11.011904761904763,88.98809523809524
71,0.0036228241734201187,335,mozjpeg-max-420,50.44776119402985,36,1,124,3,10.746268656716417,0.2985074626865672,37.014925373134325,0.8955223880597015,50.44776119402985,0.5970149253731344,81553.62388059702,81035.11976047904,73076.17910447762,84606.49849849849,11.044776119402984,88.95522388059702
72,0.0035302330199210997,335,mozjpeg-max-420,50.14925373134328,39,1,122,3,11.641791044776118,0.2985074626865672,36.417910447761194,0.8955223880597015,50.14925373134328,0.5970149253731344,83964.94029850746,81937.73353293413,74685.76119402985,85417.12612612612,11.940298507462686,88.05970149253731
73,0.003440008285904753,335,mozjpeg-max-420,51.64179104477612,30,4,123,3,8.955223880597014,1.1940298507462688,36.71641791044776,0.8955223880597015,51.64179104477612,0.5970149253731344,85530.84179104478,83569.78143712576,75972.53731343284,86935.91591591592,10.149253731343283,89.85074626865672
74,0.0033520894910664674,335,mozjpeg-max-420,51.64179104477612,30,4,123,3,8.955223880597014,1.1940298507462688,36.71641791044776,0.8955223880597015,51.64179104477612,0.5970149253731344,86642.45970149254,84952.18862275449,77672.63582089552,86094.1993957704,10.149253731343283,89.85074626865672
75,0.003266417700840783,335,mozjpeg-max-420,53.13432835820896,27,5,122,1,8.059701492537313,1.4925373134328357,36.417910447761194,0.2985074626865672,53.13432835820896,0.5970149253731344,88195.73432835822,86517.33233532934,78678.05671641791,87246.00906344411,9.552238805970148,90.44776119402985
76,0.0031829354868958136,335,mozjpeg-max-420,53.43283582089552,29,5,119,1,8.656716417910449,1.4925373134328357,35.52238805970149,0.2985074626865672,53.43283582089552,0.5970149253731344,87599.65568862275,88193.2365269461,80051.11343283582,87087.11818181818,10.149253731343284,89.8507462686567
77,0.0031015868886373386,335,mozjpeg-max-420,53.73134328358209,30,6,115,2,8.955223880597014,1.791044776119403,34.32835820895522,0.5970149253731344,53.73134328358209,0.5970149253731344,89776.60179640718,87672.90662650602,81721.54626865672,88498.11550151976,10.746268656716417,89.25373134328358
78,0.003022317375696761,335,mozjpeg-max-420,54.02985074626866,29,6,114,3,8.656716417910449,1.791044776119403,34.02985074626866,0.8955223880597015,54.02985074626866,0.5970149253731344,90891.10179640718,86280.01510574018,82747.68059701493,90042.37689969604,10.447761194029852,89.55223880597015
79,0.002945073811377791,335,mozjpeg-max-420,54.02985074626866,23,5,122,2,6.865671641791045,1.4925373134328357,36.417910447761194,0.5970149253731344,54.02985074626866,0.5970149253731344,92357.19219219219,87923.38972809668,84092.73432835822,91723.31707317074,8.35820895522388,91.64179104477613
80,0.0028698044170373553,335,mozjpeg-max-420,54.62686567164179,29,6,113,2,8.656716417910449,1.791044776119403,33.731343283582085,0.5970149253731344,54.62686567164179,0.5970149253731344,93885.96696696697,89333.06042296073,84773.61676646706,93057.18902439025,10.447761194029852,89.55223880597013
81,0.0027964587373768323,335,mozjpeg-max-420,55.82089552238806,25,4,116,1,7.462686567164178,1.1940298507462688,34.626865671641795,0.2985074626865672,55.82089552238806,0.5970149253731344,96050.60660660661,91003.41691842901,86671.2754491018,95251.23170731707,8.656716417910447,91.34328358208954
82,0.0027249876066203836,335,mozjpeg-max-420,55.52238805970149,28,3,115,1,8.358208955223882,0.8955223880597015,34.32835820895522,0.2985074626865672,55.52238805970149,0.5970149253731344,97473.14114114114,93295.6827794562,88204.09880239521,96848.38719512195,9.253731343283583,90.74626865671641
83,0.0026553431155576777,335,mozjpeg-max-420,56.4179104477612,23,3,116,2,6.865671641791045,0.8955223880597015,34.626865671641795,0.5970149253731344,56.4179104477612,0.5970149253731344,99178.29819277108,94298.5498489426,89861.27245508983,98149.06402439025,7.7611940298507465,92.23880597014927
84,0.0025874785794289313,335,mozjpeg-max-420,56.71641791044776,27,3,112,2,8.059701492537313,0.8955223880597015,33.43283582089553,0.5970149253731344,56.71641791044776,0.2985074626865672,101115.3704819277,96007.0273556231,88758.75975975976,100428.08256880734,8.955223880597014,91.044776119403
85,0.0025213485066307374,335,mozjpeg-max-420,57.3134328358209,23,4,111,3,6.865671641791045,1.1940298507462688,33.134328358208954,0.8955223880597015,57.3134328358209,0.5970149253731344,103153.70909090909,97458.81097560975,90864.4054054054,101706.874617737,8.059701492537314,91.94029850746269
86,0.0024569085682216983,335,mozjpeg-max-420,58.2089552238806,23,4,109,3,6.865671641791045,1.1940298507462688,32.537313432835816,0.8955223880597015,58.2089552238806,0.2985074626865672,101732.05775075988,99500.76524390244,92703.66666666667,104353.39755351681,8.059701492537314,91.94029850746269
87,0.0023941155682074273,335,mozjpeg-max-420,57.3134328358209,28,4,107,3,8.358208955223882,1.1940298507462688,31.94029850746269,0.8955223880597015,57.3134328358209,0.2985074626865672,103623.33434650456,101236.63414634146,94214.42642642642,106687.35474006116,9.55223880597015,90.44776119402987
88,0.0023329274145849964,333,mozjpeg-max-420,57.05705705705706,27,4,110,1,8.108108108108109,1.2012012012012012,33.033033033033036,0.3003003003003003,57.05705705705706,0.3003003003003003,101927.5731707317,103314.63719512195,95228.13554216867,108305.93883792049,9.30930930930931,90.6906906906907
89,0.002273303091127425,332,mozjpeg-max-420,57.831325301204814,24,4,111,0,7.228915662650602,1.2048192771084338,33.433734939759034,0.0,57.831325301204814,0.30120481927710846,103045.22865853658,105058.63302752294,97046.1419939577,110136.21779141104,8.433734939759036,91.56626506024095
90,0.00221520262988929,332,mozjpeg-max-420,56.92771084337349,24,6,111,0,7.228915662650602,1.8072289156626504,33.433734939759034,0.0,56.92771084337349,0.6024096385542169,105032.13414634146,107014.92331288343,98607.39879154079,108791.0,9.036144578313252,90.96385542168674
91,0.0021585870844150314,332,mozjpeg-max-420,56.325301204819276,30,7,106,0,9.036144578313253,2.108433734939759,31.92771084337349,0.0,56.325301204819276,0.6024096385542169,106098.01533742332,108657.96012269938,99699.95770392749,110877.96573208722,11.144578313253012,88.855421686747
