z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
82,2.8115594049844677,336,jpegli-420,61.60714285714286,207,108,6,0,61.60714285714286,32.142857142857146,1.7857142857142856,0.0,2.6785714285714284,1.7857142857142856,86494.13427561837,95105.20597014925,101760.13454545455,132137.45768025078,93.75,6.249999999999999
83,2.7721668696764477,335,jpegli-420,60.298507462686565,202,113,5,0,60.298507462686565,33.731343283582085,1.4925373134328357,0.0,3.2835820895522385,1.1940298507462688,88614.40636042402,96274.14029850747,104496.63868613138,130272.20900321544,94.02985074626865,5.970149253731343
84,2.7333262600489747,335,jpegli-420,61.19402985074627,205,115,3,1,61.19402985074627,34.32835820895522,0.8955223880597015,0.2985074626865672,2.3880597014925375,0.8955223880597015,91003.70671378092,98439.81492537314,107112.59706959708,132579.00967741935,95.52238805970148,4.477611940298508
85,2.6950298431152158,335,jpegli-420,59.1044776119403,198,116,6,1,59.1044776119403,34.626865671641795,1.791044776119403,0.2985074626865672,2.9850746268656714,1.1940298507462688,89857.83985765124,100116.31940298507,109321.80514705883,135316.74433656957,93.73134328358209,6.26865671641791
86,2.657269994234601,335,jpegli-420,60.895522388059696,204,110,5,1,60.895522388059696,32.83582089552239,1.4925373134328357,0.2985074626865672,3.2835820895522385,1.1940298507462688,89568.48201438849,101746.0208955224,111473.6037037037,138271.43973941368,93.73134328358208,6.26865671641791
87,2.620039195594796,335,jpegli-420,58.507462686567166,196,121,4,1,58.507462686567166,36.11940298507463,1.1940298507462688,0.2985074626865672,2.6865671641791042,1.1940298507462688,91653.61594202899,103212.70149253731,114383.05555555556,136441.34105960265,94.6268656716418,5.3731343283582085
88,2.5833300347149337,335,jpegli-420,59.1044776119403,198,120,5,1,59.1044776119403,35.82089552238806,1.4925373134328357,0.2985074626865672,2.3880597014925375,0.8955223880597015,90571.45054945054,104893.09552238806,116694.27137546468,135698.02,94.92537313432835,5.074626865671641
89,2.54713520296983,335,jpegli-420,56.4179104477612,189,131,5,2,56.4179104477612,39.1044776119403,1.4925373134328357,0.5970149253731344,1.791044776119403,0.5970149253731344,88671.57352941176,106785.51044776119,120953.32958801498,133836.39527027027,95.5223880597015,4.477611940298507
90,2.511447494134867,335,jpegli-420,57.01492537313433,191,131,4,2,57.01492537313433,39.1044776119403,1.1940298507462688,0.5970149253731344,1.4925373134328357,0.5970149253731344,90517.67158671586,108084.85074626865,120789.58935361217,137806.13993174062,96.11940298507463,3.8805970149253732
91,2.476259802951265,334,jpegli-420,57.48502994011976,192,130,4,1,57.48502994011976,38.92215568862276,1.1976047904191618,0.29940119760479045,1.1976047904191618,0.8982035928143712,92699.75555555556,107210.53892215568,121549.21072796934,140221.76206896553,96.40718562874252,3.592814371257485
92,2.4415651237114613,334,jpegli-420,55.08982035928144,184,139,3,1,55.08982035928144,41.61676646706587,0.8982035928143712,0.29940119760479045,1.1976047904191618,0.8982035928143712,93895.41573033707,109114.12275449102,125798.67692307693,143591.4350877193,96.70658682634732,3.293413173652695
93,2.4073565488643065,334,jpegli-420,56.886227544910184,190,131,3,0,56.886227544910184,39.221556886227546,0.8982035928143712,0.0,2.3952095808383236,0.5988023952095809,95940.03409090909,111673.05988023953,125470.82677165355,143207.9,96.10778443113773,3.8922155688622757
94,2.373627267639799,334,jpegli-420,55.38922155688623,185,138,2,0,55.38922155688623,41.31736526946108,0.5988023952095809,0.0,2.095808383233533,0.5988023952095809,94316.22222222222,113924.17964071856,127890.74501992032,138403.238267148,96.7065868263473,3.293413173652694
95,2.340370564693095,333,jpegli-420,52.25225225225225,174,147,2,0,52.25225225225225,44.14414414414414,0.6006006006006006,0.0,2.4024024024024024,0.6006006006006006,97732.27906976744,115129.3033033033,127192.68571428572,140046.13043478262,96.3963963963964,3.603603603603603
